Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;;;;;
BMW;2-Series;2017;2099000;https://auto.drom.ru/moscow/bmw/2-series/53560146.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Есть ограничения;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;199 000 км;левый;1 поколение;белый;купе;220i AT;;
BMW;X4;2017;3460000;https://auto.drom.ru/spb/bmw/x4/53553638.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;113 917 км;левый;1 поколение;черный;;;;
BMW;1-Series;2017;2000000;https://auto.drom.ru/moscow/bmw/1-series/53148009.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;136 л.с., налог;АКПП;задний;60 969 км;левый;2 поколение, рестайлинг;белый;хэтчбек 5 дв.;118i AT Model Advantage;;
BMW;X3;2017;3349200;https://auto.drom.ru/voronezh/bmw/x3/52260925.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Воронеже;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;81 825 км;левый;;черный;;;;
BMW;X4;2017;3799000;https://auto.drom.ru/spb/bmw/x4/209322291.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;42 538 км;левый;1 поколение;красный;;;;
BMW;X1;2017;2500000;https://auto.drom.ru/donetsk/bmw/x1/53818117.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Донецке;дизель, 2.0 л;150 л.с., налог;АКПП;4WD;79 000 км;левый;2 поколение;белый;;;;
BMW;X1;2017;2310000;https://auto.drom.ru/moscow/bmw/x1/448456154.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;140 л.с., налог;робот;передний;61 780 км;левый;2 поколение;черный;;;;
BMW;5-Series;2017;2950000;https://auto.drom.ru/moscow/bmw/5-series/180469477.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;171 626 км;левый;;черный;седан;;;
BMW;3-Series;2017;2392000;https://auto.drom.ru/spb/bmw/3-series/53539096.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;автомат;4WD;158 645 км;левый;;синий;лифтбек;;;
BMW;X3;2017;2452000;https://auto.drom.ru/moscow/bmw/x3/52680866.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;142 762 км;левый;;белый;;;;
BMW;2-Series Active Tourer;2017;1290000;https://auto.drom.ru/moscow/bmw/2-series_active_tourer/47926193.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л, ГБО;136 л.с., налог;АКПП;передний;205 000 км;левый;1 поколение;черный;;218i AT Model Advantage;;
BMW;X5;2017;4280000;https://auto.drom.ru/moscow/bmw/x5/734099926.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;141 445 км;левый;3 поколение;черный;;;;
BMW;3-Series;2017;2100000;https://auto.drom.ru/novovoronezh/bmw/3-series/785659620.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Нововоронеже;бензин, 1.5 л;136 л.с., налог;АКПП;задний;46 300 км;правый;6 поколение, рестайлинг;черный;седан;318i Luxury;;
BMW;7-Series;2017;3999999;https://auto.drom.ru/moscow/bmw/7-series/387429642.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;145 000 км;левый;6 поколение;черный;;;;
BMW;X5;2017;5990000;https://auto.drom.ru/moscow/bmw/x5/551523734.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;67 028 км;левый;3 поколение;черный;;;;
BMW;X6;2017;4950000;https://auto.drom.ru/kazan/bmw/x6/53896629.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;148 210 км;левый;2 поколение;черный;;;;
BMW;5-Series;2017;3390000;https://auto.drom.ru/moscow/bmw/5-series/53890158.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;118 494 км;левый;;белый;седан;;;
BMW;2-Series Active Tourer;2017;1198000;https://auto.drom.ru/moscow/bmw/2-series_active_tourer/53526031.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;136 л.с., налог;АКПП;передний;239 202 км;левый;1 поколение;черный;;;;
BMW;7-Series;2017;4199000;https://auto.drom.ru/moscow/bmw/7-series/52655795.html;;;;;Москве;бензин, 3.0 л;326 л.с., налог;АКПП;задний;78 796 км;левый;6 поколение;бежевый;;;;
BMW;X3;2017;3575000;https://auto.drom.ru/bryansk/bmw/x3/53884927.html;;;;;Брянске;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;92 000 км;левый;3 поколение;черный;;;;
BMW;1-Series;2017;2184789;https://auto.drom.ru/spb/bmw/1-series/873518701.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.5 л;136 л.с., налог;АКПП;задний;73 000 км;левый;2 поколение;белый;хэтчбек 5 дв.;;;
BMW;1-Series;2017;1850000;https://auto.drom.ru/spb/bmw/1-series/599696236.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.5 л;136 л.с., налог;АКПП;задний;123 000 км;левый;2 поколение, 2 рестайлинг;черный;хэтчбек 5 дв.;118i AT Base;;
BMW;5-Series;2017;3220000;https://auto.drom.ru/moscow/bmw/5-series/53522428.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;2.0 л;;автомат;;131 813 км;левый;;синий;седан;;;
BMW;5-Series;2017;3790000;https://auto.drom.ru/spb/bmw/5-series/53468474.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;109 500 км;левый;7 поколение;серый;универсал;530d AT xDrive;;
BMW;1-Series;2017;1679000;https://auto.drom.ru/tambov/bmw/1-series/816513380.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Тамбове;бензин, 1.5 л;136 л.с., налог;АКПП;задний;123 000 км;левый;2 поколение, 2 рестайлинг;синий;хэтчбек 5 дв.;118i AT Model М Sport;;
BMW;X5;2017;4045000;https://auto.drom.ru/himki/bmw/x5/197232411.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;119 764 км;левый;3 поколение;черный;;;;
BMW;X1;2017;3000000;https://auto.drom.ru/kazan/bmw/x1/552106462.html;;;;;Казани;дизель, 2.0 л;150 л.с., налог;АКПП;4WD;83 374 км;левый;2 поколение;белый;;;;
BMW;5-Series;2017;2949000;https://auto.drom.ru/tambov/bmw/5-series/53511077.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Тамбове;бензин, 2.0 л;184 л.с., налог;АКПП;задний;124 000 км;левый;;белый;седан;;;
BMW;X1;2017;2297000;https://auto.drom.ru/moscow/bmw/x1/53499727.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;82 800 км;левый;2 поколение;синий;;;;
BMW;7-Series;2017;8200000;https://auto.drom.ru/moscow/bmw/7-series/53095236.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 6.6 л;609 л.с., налог;АКПП;4WD;60 000 км;левый;6 поколение;черный;;M760Li AT xDrive;;
BMW;3-Series;2017;2400000;https://auto.drom.ru/moscow/bmw/3-series/53094471.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;92 200 км;левый;6 поколение, рестайлинг;белый;седан;;;
BMW;X5;2017;4050000;https://auto.drom.ru/moscow/bmw/x5/53094062.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;199 000 км;левый;3 поколение;черный;;xDrive 30d AT Exclusive;;
BMW;X6;2017;4500000;https://auto.drom.ru/moscow/bmw/x6/50982372.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;300 л.с., налог;АКПП;задний;65 000 км;левый;2 поколение;черный;;sDrive35i AT;;
BMW;7-Series;2017;3891114;https://auto.drom.ru/kursk/bmw/7-series/49324812.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Курске;дизель, 2.0 л;231 л.с., налог;АКПП;4WD;279 000 км;левый;6 поколение;черный;;725Ld AT xDrive Bussiness;;
BMW;X5;2017;4690000;https://auto.drom.ru/moscow/bmw/x5/54154842.html;Цвет не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;127 000 км;левый;3 поколение;синий;;;;
