Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;3-Series;2010;1250000;https://auto.drom.ru/moscow/bmw/3-series/53343579.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Есть ограничения;Москве;бензин, 2.0 л;156 л.с., налог;АКПП;задний;купе;белый;229 783 км;левый;5 поколение;320i AT;;
BMW;5-Series;2010;1630000;https://auto.drom.ru/voronezh/bmw/5-series/413862882.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Воронеже;бензин, 2.5 л;204 л.с., налог;АКПП;задний;седан;серый;186 000 км;левый;6 поколение;523i АT Базовая;;
BMW;1-Series;2010;850000;https://auto.drom.ru/kazan/bmw/1-series/360961767.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 1.6 л;116 л.с., налог;АКПП;задний;хэтчбек 3 дв.;белый;153 000 км;левый;1 поколение, рестайлинг;116i AT Базовая;;
BMW;1-Series;2010;735000;https://auto.drom.ru/moscow/bmw/1-series/679057444.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;169 000 км;левый;1 поколение, рестайлинг;118i AT Base;;
BMW;3-Series;2010;1490000;https://auto.drom.ru/spb/bmw/3-series/53327209.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;156 л.с., налог;АКПП;задний;купе;белый;230 000 км;левый;5 поколение, рестайлинг;320i AT;;
BMW;5-Series Gran Turismo;2010;1200000;https://auto.drom.ru/moscow/bmw/5-series_gran_turismo/53216055.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;407 л.с., налог;АКПП;задний;;бежевый;160 000 км;левый;6 поколение;550i AT Базовая;;
BMW;X5;2010;2324117;https://auto.drom.ru/minsk/bmw/x5/53713581.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Минске;дизель, 3.0 л;306 л.с., налог;АКПП;4WD;;черный;163 000 км;левый;2 поколение, рестайлинг;xDrive 40d AT M Sports Edition;;
BMW;5-Series;2010;1919000;https://auto.drom.ru/moscow/bmw/5-series/54001840.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;306 л.с., налог;АКПП;задний;седан;серый;155 512 км;левый;;;;
BMW;5-Series;2010;1600000;https://auto.drom.ru/spb/bmw/5-series/52873030.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;221 000 км;левый;6 поколение;;;
BMW;X6;2010;2950000;https://auto.drom.ru/moscow/bmw/x6/50365532.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;245 л.с., налог;АКПП;4WD;;черный;140 000 км;левый;1 поколение;xDrive 30d AT;;
BMW;5-Series;2010;2250000;https://auto.drom.ru/serpuhov/bmw/5-series/53275899.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Серпухове;дизель, 3.0 л;245 л.с., налог;АКПП;задний;седан;белый;255 000 км;левый;6 поколение;530d AT;;
BMW;X5;2010;2250000;https://auto.drom.ru/moscow/bmw/x5/500154549.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;235 л.с., налог;АКПП;4WD;;черный;172 000 км;левый;2 поколение;xDrive 30d AT;;
BMW;X5;2010;2217845;https://auto.drom.ru/minsk/bmw/x5/638202509.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Минске;дизель, 3.0 л;245 л.с., налог;АКПП;4WD;;коричневый;270 000 км;левый;2 поколение, рестайлинг;xDrive 30d AT;;
BMW;X5;2010;2070000;https://auto.drom.ru/moscow/bmw/x5/52225875.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;306 л.с., налог;АКПП;4WD;;черный;229 613 км;левый;2 поколение, рестайлинг;;;
BMW;X5;2010;2500000;https://auto.drom.ru/kazan/bmw/x5/590306656.html;Модель, год, объем двигателя, цвет, мощность двигателя не совпадают с ПТС;9 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;черный;228 000 км;левый;2 поколение, рестайлинг;xDrive 35d AT;;
BMW;X5;2010;1890000;https://auto.drom.ru/tula/bmw/x5/53996291.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Туле;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;черный;213 000 км;левый;2 поколение, рестайлинг;xDrive 35i AT;;
BMW;X6;2010;2100000;https://auto.drom.ru/kazan/bmw/x6/644784707.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;;белый;286 000 км;левый;1 поколение;xDrive 35d AT;;
BMW;3-Series;2010;1299000;https://auto.drom.ru/moscow/bmw/3-series/782984798.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;136 л.с., налог;АКПП;задний;седан;красный;118 145 км;левый;5 поколение, рестайлинг;;;
BMW;X6;2010;2500000;https://auto.drom.ru/kirov/bmw/x6/616273920.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Кирове;дизель, 3.0 л;235 л.с., налог;АКПП;4WD;;черный;254 000 км;левый;1 поколение;xDrive 30d AT;;
BMW;X5;2010;2310255;https://auto.drom.ru/minsk/bmw/x5/753325176.html;;;;;Минске;дизель, 3.0 л;245 л.с., налог;АКПП;4WD;;черный;280 000 км;левый;2 поколение, рестайлинг;xDrive 30d AT Luxury;;
BMW;7-Series;2010;2250000;https://auto.drom.ru/lipetsk/bmw/7-series/823703096.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Липецке;дизель, 3.0 л;306 л.с., налог;АКПП;4WD;;белый;230 820 км;левый;5 поколение;;;
BMW;3-Series;2010;1050000;https://auto.drom.ru/spb/bmw/3-series/365086791.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;136 л.с., налог;АКПП;задний;седан;черный;320 000 км;левый;5 поколение, рестайлинг;318i AT Базовая;;
BMW;1-Series;2010;1249000;https://auto.drom.ru/moscow/bmw/1-series/53661308.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;90 938 км;левый;1 поколение, рестайлинг;118i AT Base;;
BMW;1-Series;2010;910000;https://auto.drom.ru/kursk/bmw/1-series/140366889.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Курске;бензин, 1.6 л;116 л.с., налог;АКПП;задний;хэтчбек 5 дв.;черный;201 000 км;левый;1 поколение, рестайлинг;116i AT Base;;
BMW;X5;2010;2030714;https://auto.drom.ru/minsk/bmw/x5/53957603.html;;;;;Минске;дизель, 3.0 л;211 л.с., налог;автомат;4WD;;серый;245 000 км;левый;2 поколение, рестайлинг;;;
