Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;;;;
BMW;3-Series;1992;400000;https://auto.drom.ru/volsk/bmw/3-series/531891405.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Есть ограничения;Вольске;бензин, 1.6 л;99 л.с., налог;механика;задний;седан;зеленый;300 000 км;левый;3 поколение;316i MT;;
BMW;3-Series;1992;140000;https://auto.drom.ru/klimovo/bmw/3-series/674841524.html;Характеристики совпадают с ПТС;11 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Климове;бензин, 1.8 л;113 л.с., налог;механика;задний;седан;черный;489 000 км;левый;3 поколение;318i MT;;
BMW;3-Series;1992;185000;https://auto.drom.ru/moscow/bmw/3-series/54063889.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;красный;235 000 км;левый;3 поколение;320i MT;;
BMW;5-Series;1992;359100;https://auto.drom.ru/penza/bmw/5-series/228627989.html;Год, мощность двигателя не совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Есть ограничения;Пензе;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;;;левый;3 поколение;;;
BMW;3-Series;1992;360000;https://auto.drom.ru/spb/bmw/3-series/53802523.html;Объем двигателя, мощность двигателя не совпадают с ПТС;11 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.5 л;192 л.с., налог;механика;задний;седан;красный;230 450 км;левый;3 поколение;325i MT;;
BMW;3-Series;1992;450000;https://auto.drom.ru/spb/bmw/3-series/836470847.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;красный;170 000 км;левый;3 поколение;320i MT;;
BMW;3-Series;1992;295000;https://auto.drom.ru/ivanovo/bmw/3-series/53800297.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Иваново;бензин, 1.8 л;113 л.с., налог;механика;задний;седан;серый;235 580 км;левый;3 поколение;318i MT;;
BMW;5-Series;1992;600000;https://auto.drom.ru/kirov/bmw/5-series/52986547.html;Цвет не совпадает с ПТС;9 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Кирове;бензин, 2.5 л;192 л.с., налог;механика;задний;седан;черный;390 000 км;левый;3 поколение;525i MT;;
BMW;5-Series;1992;150000;https://auto.drom.ru/smolensk/bmw/5-series/54071923.html;;;;;Смоленске;дизель, 2.5 л;143 л.с., налог;механика;задний;седан;черный;350 000 км;левый;3 поколение;525tds MT;требуется ремонт или не на ходу;
BMW;5-Series;1992;140000;https://auto.drom.ru/spb/bmw/5-series/541011908.html;Характеристики совпадают с ПТС;15 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;черный;666 666 км;левый;3 поколение;;;
BMW;3-Series;1992;180000;https://auto.drom.ru/spb/bmw/3-series/692171178.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.8 л;113 л.с., налог;механика;задний;седан;черный;330 000 км;левый;3 поколение;318i MT;;
BMW;7-Series;1992;111111;https://auto.drom.ru/moscow/bmw/7-series/54019381.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Есть ограничения;Москве;бензин, 3.0 л;188 л.с., налог;АКПП;задний;;черный;350 000 км;левый;2 поколение;730i AT Catalyst;требуется ремонт или не на ходу, документы с проблемами или отсутствуют;
BMW;3-Series;1992;290000;https://auto.drom.ru/nizhniy-novgorod/bmw/3-series/327525855.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;бензин, 1.8 л;113 л.с., налог;механика;задний;седан;синий;420 000 км;левый;3 поколение;318i MT;требуется ремонт или не на ходу;
BMW;5-Series;1992;360000;https://auto.drom.ru/tver/bmw/5-series/159057186.html;Мощность двигателя не совпадает с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Твери;бензин, 2.5 л;192 л.с., налог;механика;задний;седан;бордовый;444 444 км;левый;3 поколение;525i MT;;
BMW;5-Series;1992;600000;https://auto.drom.ru/moscow/bmw/5-series/489408617.html;;;;;Москве;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;синий;260 000 км;левый;3 поколение;520i MT;;
BMW;3-Series;1992;390000;https://auto.drom.ru/moscow/bmw/3-series/908552544.html;Объем двигателя, мощность двигателя не совпадают с ПТС;11 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.5 л;192 л.с., налог;механика;задний;седан;зеленый;320 000 км;левый;3 поколение;325i MT;;
BMW;5-Series;1992;199999;https://auto.drom.ru/moscow/bmw/5-series/53964768.html;Мощность двигателя не совпадает с ПТС;10 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;черный;300 000 км;левый;3 поколение;520i MT;;
BMW;3-Series;1992;170000;https://auto.drom.ru/shatura/bmw/3-series/795148884.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Шатуре;бензин, 1.8 л;113 л.с., налог;механика;задний;седан;красный;471 574 км;левый;3 поколение;318i MT;;
BMW;5-Series;1992;380000;https://auto.drom.ru/alexin/bmw/5-series/134695424.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Алексине;бензин, 2.5 л;192 л.с., налог;механика;задний;седан;черный;400 000 км;левый;3 поколение;525i MT;документы с проблемами или отсутствуют;
BMW;3-Series;1992;300000;https://auto.drom.ru/moscow/bmw/3-series/53925001.html;Мощность двигателя не совпадает с ПТС;12 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.8 л;113 л.с., налог;механика;задний;седан;белый;500 000 км;левый;3 поколение;318i MT;;
BMW;7-Series;1992;1440000;https://auto.drom.ru/spb/bmw/7-series/50553272.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 3.0 л;218 л.с., налог;механика;задний;;черный;400 000 км;левый;2 поколение;730i MT;;
BMW;5-Series;1992;230000;https://auto.drom.ru/orel/bmw/5-series/534367709.html;;;;;Орле;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;;;левый;3 поколение;;;
BMW;3-Series;1992;300000;https://auto.drom.ru/spb/bmw/3-series/817776394.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.8 л;113 л.с., налог;механика;задний;седан;серебристый;316 183 км;левый;3 поколение;318i MT;;
BMW;5-Series;1992;550000;https://auto.drom.ru/spb/bmw/5-series/696534721.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.5 л;192 л.с., налог;механика;задний;седан;фиолетовый;300 000 км;левый;3 поколение;525i MT;;
