Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;
BMW;3-Series Gran Turismo;2017;2150000;https://auto.drom.ru/moscow/bmw/3-series_gran_turismo/53262823.html;Модель, мощность двигателя не совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;автомат;задний;;черный;154 854 км;левый;;;
BMW;3-Series;2017;1835436;https://auto.drom.ru/minsk/bmw/3-series/159979307.html;;;;;Минске;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;серый;108 000 км;левый;6 поколение, рестайлинг;320i AT;
BMW;5-Series;2017;3329900;https://auto.drom.ru/moscow/bmw/5-series/748087266.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;универсал;белый;57 762 км;левый;7 поколение;520d AT;
BMW;3-Series;2017;2050000;https://auto.drom.ru/moscow/bmw/3-series/52467653.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;116 л.с., налог;АКПП;задний;универсал;черный;242 000 км;левый;6 поколение, рестайлинг;316d AT;
BMW;5-Series;2017;3990000;https://auto.drom.ru/moscow/bmw/5-series/287978050.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;320 л.с., налог;АКПП;4WD;универсал;белый;153 419 км;левый;7 поколение;540d AT xDrive;
BMW;5-Series;2017;3790000;https://auto.drom.ru/moscow/bmw/5-series/53801439.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;белый;73 312 км;левый;;;
BMW;1-Series;2017;1613000;https://auto.drom.ru/voronezh/bmw/1-series/52990557.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Воронеже;бензин, 1.5 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;133 843 км;левый;2 поколение;;
BMW;X1;2017;2420000;https://auto.drom.ru/moscow/bmw/x1/52986705.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;192 л.с., налог;автомат;4WD;;черный;127 772 км;левый;2 поколение;;
BMW;M2;2017;4300000;https://auto.drom.ru/moscow/bmw/m2/52590957.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;370 л.с., налог;робот;задний;;синий;90 000 км;левый;1 поколение;M2 AMT;
BMW;X5;2017;3050000;https://auto.drom.ru/moscow/bmw/x5/441253718.html;;;;;Москве;бензин, 3.0 л;306 л.с., налог;АКПП;задний;;черный;110 000 км;левый;3 поколение;sDrive 35i AT;
BMW;X1;2017;2750000;https://auto.drom.ru/spb/bmw/x1/687820251.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.5 л;136 л.с., налог;АКПП;передний;;белый;26 073 км;левый;2 поколение;sDrive 18i AT;
BMW;3-Series Gran Turismo;2017;2520000;https://auto.drom.ru/moscow/bmw/3-series_gran_turismo/874897407.html;Модель не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;150 л.с., налог;автомат;задний;;серый;62 123 км;левый;;;
BMW;5-Series;2017;3308000;https://auto.drom.ru/himki/bmw/5-series/54068118.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;79 587 км;левый;;;
BMW;3-Series;2017;2759000;https://auto.drom.ru/spb/bmw/3-series/202465722.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;седан;белый;144 136 км;левый;6 поколение, рестайлинг;;
BMW;3-Series;2017;2850000;https://auto.drom.ru/solnechnogorsk/bmw/3-series/54075311.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Солнечногорске;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;синий;138 454 км;левый;6 поколение, рестайлинг;;
BMW;X4;2017;4097000;https://auto.drom.ru/moscow/bmw/x4/896549714.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;черный;54 154 км;левый;1 поколение;;
BMW;5-Series;2017;2895000;https://auto.drom.ru/moscow/bmw/5-series/53781834.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;серый;150 628 км;левый;;;
