Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;;
BMW;5-Series;2020;4890000;https://auto.drom.ru/volgograd/bmw/5-series/53794973.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Волгограде;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;серый;81 660 км;левый;7 поколение;;;;
BMW;X5;2020;6600000;https://auto.drom.ru/moscow/bmw/x5/53888744.html;;;;;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;черный;50 000 км, без пробега по РФ;левый;4 поколение;xDrive40i AT xLine;;;
BMW;X3;2020;4790000;https://auto.drom.ru/kazan/bmw/x3/524499933.html;;;;;Казани;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;серебристый;78 687 км;левый;3 поколение;xDrive 20d AT M Sport;;;
BMW;3-Series;2020;3798400;https://auto.drom.ru/moscow/bmw/3-series/54145234.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Есть ограничения;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;седан;серый;50 500 км;левый;7 поколение;;;;
BMW;3-Series;2020;3579700;https://auto.drom.ru/moscow/bmw/3-series/54144845.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;150 л.с., налог;АКПП;задний;седан;черный;31 476 км;левый;7 поколение;;;;
BMW;6-Series Gran Turismo;2020;5599000;https://auto.drom.ru/moscow/bmw/6-series_gran_turismo/54144470.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;серый;43 754 км;левый;1 поколение;;;;
BMW;X5;2020;8090000;https://auto.drom.ru/moscow/bmw/x5/54141234.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;40 838 км;левый;4 поколение;;;;
BMW;3-Series;2020;3525000;https://auto.drom.ru/spb/bmw/3-series/53854963.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;94 000 км;левый;7 поколение;320d AT xDrive M Sport Pro;;;
BMW;X6;2020;8900000;https://auto.drom.ru/moscow/bmw/x6/53852048.html;Цвет не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;51 000 км;левый;3 поколение;xDrive 30d AT M Sport Pro;;;
BMW;7-Series;2020;8400000;https://auto.drom.ru/moscow/bmw/7-series/53851169.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;47 555 км;левый;6 поколение, рестайлинг;;;;
BMW;X5;2020;6800000;https://auto.drom.ru/kursk/bmw/x5/53840652.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Курске;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;;серый;133 742 км;левый;4 поколение;;;;
BMW;8-Series;2020;8875000;https://auto.drom.ru/moscow/bmw/8-series/53484584.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;320 л.с., налог;АКПП;4WD;купе;серый;56 414 км;левый;2 поколение;840d AT xDrive Base;;;
BMW;X6;2020;7850000;https://auto.drom.ru/moscow/bmw/x6/53476485.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;133 013 км;левый;;;;;
BMW;5-Series;2020;4195700;https://auto.drom.ru/moscow/bmw/5-series/53055127.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;белый;65 620 км;левый;7 поколение;;;;
BMW;3-Series;2020;3990000;https://auto.drom.ru/moscow/bmw/3-series/867501451.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;58 800 км;левый;7 поколение;320d AT xDrive M Sport;;;
BMW;X3;2020;5190000;https://auto.drom.ru/moscow/bmw/x3/177546974.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;серый;46 200 км;левый;3 поколение;;;;
BMW;X4;2020;5290000;https://auto.drom.ru/moscow/bmw/x4/345097690.html;;;;;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;белый;45 800 км;левый;2 поколение;;;;
