Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;
BMW;5-Series;2019;3500000;https://auto.drom.ru/moscow/bmw/5-series/49897451.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;универсал;серый;101 000 км;левый;7 поколение;520d AT;
BMW;X3;2019;3950000;https://auto.drom.ru/penza/bmw/x3/53224557.html;;;;;Пензе;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;синий;72 000 км;левый;3 поколение;xDrive 20d AT xLine;
BMW;X3;2019;4890000;https://auto.drom.ru/kazan/bmw/x3/53972472.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;;белый;78 000 км;левый;3 поколение;;
BMW;X5;2019;7499000;https://auto.drom.ru/nizhniy-novgorod/bmw/x5/53658890.html;;;;;Нижнем Новгороде;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;черный;71 000 км;левый;4 поколение;xDrive40i AT M Sport;
BMW;7-Series;2019;6649128;https://auto.drom.ru/minsk/bmw/7-series/52310144.html;;;;;Минске;дизель, 3.0 л;265 л.с., налог;автомат;4WD;;черный;103 000 км;левый;6 поколение, рестайлинг;;
BMW;X5;2019;6350000;https://auto.drom.ru/moscow/bmw/x5/53973452.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;серый;93 000 км;левый;4 поколение;xDrive30d AT M Sport;
BMW;X3;2019;4639000;https://auto.drom.ru/yoshkar-ola/bmw/x3/53660483.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Йошкар-Оле;дизель, 3.0 л;265 л.с., налог;автомат;4WD;;серебристый;77 576 км;левый;;;
BMW;3-Series;2019;3500000;https://auto.drom.ru/lipetsk/bmw/3-series/53658153.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Липецке;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;белый;98 398 км;левый;;;
BMW;5-Series;2019;3270000;https://auto.drom.ru/moscow/bmw/5-series/53655152.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;черный;212 000 км;левый;7 поколение;520d AT Sport Line;
BMW;X5;2019;7420000;https://auto.drom.ru/moscow/bmw/x5/53260701.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;серый;50 000 км;левый;4 поколение;;
BMW;X3;2019;4900000;https://auto.drom.ru/serpuhov/bmw/x3/53257828.html;;;;;Серпухове;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;серебристый;69 243 км;левый;3 поколение;xDrive 30d AT M Sport;
BMW;3-Series;2019;3527000;https://auto.drom.ru/moscow/bmw/3-series/53257307.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;синий;114 400 км;левый;7 поколение;320d AT Sport Line;
BMW;X3;2019;5700000;https://auto.drom.ru/moscow/bmw/x3/53248061.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;326 л.с., налог;АКПП;4WD;;синий;35 000 км;левый;3 поколение;xDrive M40d AT Base;
BMW;5-Series;2019;4050000;https://auto.drom.ru/moscow/bmw/5-series/52806052.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;синий;69 000 км;левый;7 поколение;520d AT xDrive M Sport;
BMW;X7;2019;9450000;https://auto.drom.ru/moscow/bmw/x7/51932410.html;;;;;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;59 000 км;левый;1 поколение;;
BMW;8-Series;2019;7999000;https://auto.drom.ru/moscow/bmw/8-series/53134443.html;;;;;Москве;дизель, 3.0 л;320 л.с., налог;АКПП;4WD;купе;черный;47 000 км;левый;2 поколение;840d AT xDrive Base;
BMW;5-Series;2019;4000000;https://auto.drom.ru/ulyanovsk/bmw/5-series/326907509.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Ульяновске;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;седан;серый;81 500 км;левый;7 поколение;530i AT xDrive M Sport;
BMW;X5;2019;6200000;https://auto.drom.ru/moscow/bmw/x5/284009590.html;;;;;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;черный;70 000 км, без пробега по РФ;левый;4 поколение;xDrive30d AT M Sport;
BMW;X6;2019;4649990;https://auto.drom.ru/spb/bmw/x6/636793795.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;;белый;86 834 км;левый;2 поколение;;
BMW;5-Series;2019;3629316;https://auto.drom.ru/minsk/bmw/5-series/53203008.html;;;;;Минске;бензин, 2.0 л;252 л.с., налог;АКПП;задний;седан;белый;65 000 км;левый;7 поколение;530i AT;
BMW;5-Series;2019;4247962;https://auto.drom.ru/minsk/bmw/5-series/53967886.html;;;;;Минске;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;белый;39 000 км;левый;7 поколение;520i AT Base;
BMW;X4;2019;3961772;https://auto.drom.ru/minsk/bmw/x4/53917816.html;;;;;Минске;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;черный;50 595 км;левый;2 поколение;;
BMW;X1;2019;2300000;https://auto.drom.ru/moscow/bmw/x1/53955406.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 1.5 л;116 л.с., налог;механика;передний;;серый;98 000 км;левый;2 поколение;;
BMW;X7;2019;7999000;https://auto.drom.ru/spb/bmw/x7/502358140.html;Цвет не совпадает с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;76 330 км;левый;1 поколение;;
BMW;X5;2019;5920000;https://auto.drom.ru/minsk/bmw/x5/53239645.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Минске;бензин, 3.0 л;195 л.с., налог;автомат;4WD;;синий;116 000 км;левый;4 поколение;;
BMW;X1;2019;2800000;https://auto.drom.ru/minsk/bmw/x1/53969219.html;;;;;Минске;бензин, 2.0 л;231 л.с., налог;робот;4WD;;серебристый;91 000 км, без пробега по РФ;левый;2 поколение, рестайлинг;xDrive25i AT Sport Line;
BMW;X1;2019;2664269;https://auto.drom.ru/minsk/bmw/x1/865698819.html;;;;;Минске;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;белый;99 000 км;левый;2 поколение;xDrive20d AT xLine;
BMW;7-Series;2019;7250000;https://auto.drom.ru/moscow/bmw/7-series/780106704.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;320 л.с., налог;АКПП;4WD;;серый;92 060 км;левый;6 поколение, рестайлинг;;
BMW;X3;2019;5225000;https://auto.drom.ru/moscow/bmw/x3/373743912.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;82 976 км;левый;3 поколение;;
BMW;1-Series;2019;2300777;https://auto.drom.ru/spb/bmw/1-series/663014748.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 1.5 л;116 л.с., налог;робот;передний;хэтчбек 5 дв.;черный;100 000 км;левый;3 поколение;;
BMW;X5;2019;6450000;https://auto.drom.ru/moscow/bmw/x5/322422259.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;белый;87 856 км;левый;4 поколение;;
BMW;5-Series;2019;3270000;https://auto.drom.ru/spb/bmw/5-series/284408662.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;137 015 км;левый;7 поколение;;
BMW;5-Series;2019;4500000;https://auto.drom.ru/kazan/bmw/5-series/53649925.html;;;;;Казани;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;белый;99 000 км, без пробега по РФ;левый;7 поколение;;
BMW;X3;2019;4349000;https://auto.drom.ru/yaroslavl/bmw/x3/53237926.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Ярославле;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;черный;98 154 км;левый;3 поколение;xDrive 20i AT Base;
BMW;3-Series;2019;3290000;https://auto.drom.ru/spb/bmw/3-series/53237660.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;белый;87 000 км;левый;;;
BMW;5-Series;2019;4450000;https://auto.drom.ru/volgograd/bmw/5-series/53231972.html;;;;;Волгограде;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;серый;46 550 км;левый;7 поколение;;
BMW;X7;2019;7350000;https://auto.drom.ru/spb/bmw/x7/53226219.html;;;;;Санкт-Петербурге;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;черный;119 000 км;левый;1 поколение;;
