Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;VIN;
BMW;X5;2023;13590000;https://auto.drom.ru/moscow/bmw/x5/442050463.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;синий;30 км;левый;4 поколение, рестайлинг;;;;
BMW;X7;2023;15989999;https://auto.drom.ru/moscow/bmw/x7/52971989.html;;;;;Москве;дизель, 3.0 л;352 л.с., налог;АКПП;4WD;;;новый автомобиль;левый;1 поколение, рестайлинг;xDrive40d AT;;5UX**************;
BMW;7-Series;2023;16500000;https://auto.drom.ru/moscow/bmw/7-series/54071318.html;;;;;Москве;дизель, 3.0 л, гибрид;286 л.с., налог;автомат;4WD;;черный;50 км;левый;7 поколение;;;;
BMW;XM;2023;18000000;https://auto.drom.ru/moscow/bmw/xm/54073103.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л, гибрид;632 л.с., налог;автомат;4WD;;синий;5 000 км;левый;1 поколение;;;;
BMW;5-Series;2023;10200000;https://auto.drom.ru/moscow/bmw/5-series/324805760.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;197 л.с., налог;автомат;4WD;седан;черный;новый автомобиль;левый;;;;WBA**************;
BMW;X6;2023;15390000;https://auto.drom.ru/moscow/bmw/x6/54073753.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;3 поколение, рестайлинг;xDrive40i AT M Sport;;WBA**************;
BMW;X5;2023;14900000;https://auto.drom.ru/moscow/bmw/x5/54067856.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;X6;2023;17590000;https://auto.drom.ru/moscow/bmw/x6/53789503.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;черный;35 км;левый;3 поколение, рестайлинг;xDrive40i AT M Sport;;;
BMW;3-Series;2023;5900000;https://auto.drom.ru/himki/bmw/3-series/53783863.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 2.0 л;156 л.с., налог;АКПП;задний;универсал;черный;новый автомобиль;левый;7 поколение, рестайлинг;318i AT Base;;WBA**************;
BMW;X3;2023;8440000;https://auto.drom.ru/moscow/bmw/x3/53779553.html;;;;;Москве;бензин, 2.0 л;245 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;3 поколение, рестайлинг;;;LBV**************;
BMW;X5;2023;13900000;https://auto.drom.ru/himki/bmw/x5/52622175.html;;;;;Химках;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;4 поколение;xDrive 40i AT Base;;WBA**************;
BMW;X6;2023;15990000;https://auto.drom.ru/moscow/bmw/x6/52512063.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;серый;35 км;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;;
BMW;X7;2023;14800000;https://auto.drom.ru/moscow/bmw/x7/134949668.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;черный;50 км;левый;1 поколение, рестайлинг;xDrive40i AT;;;
BMW;5-Series;2023;11400000;https://auto.drom.ru/moscow/bmw/5-series/702393527.html;;;;;Москве;дизель, 2.0 л;197 л.с., налог;автомат;4WD;седан;серый;50 км;левый;8 поколение;;;;
BMW;X5;2023;15300000;https://auto.drom.ru/moscow/bmw/x5/186334376.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;черный;50 км, без пробега по РФ;левый;4 поколение, рестайлинг;xDrive30d AT;;;
